u,value
0.0,0.0
0.00392156862745098,0.005203972643452854
0.00784313725490196,0.019394728783560255
0.011764705882352941,0.04070633835763531
0.01568627450980392,0.06758093856397437
0.0196078431372549,0.09871898579520581
0.023529411764705882,0.13303782445231893
0.027450980392156862,0.16963710488426756
0.03137254901960784,0.20776985786092786
0.03529411764705882,0.24681825330539822
0.0392156862745098,0.28627324808906285
0.043137254901960784,0.32571747053311734
0.047058823529411764,0.36481080488532686
0.050980392156862744,0.4032782329457263
0.054901960784313725,0.4408995665234418
0.058823529411764705,0.4775007669312377
0.06274509803921569,0.512946598969498
0.06666666666666667,0.5471344089696262
0.07058823529411765,0.5799888511764043
0.07450980392156863,0.6114574154261768
0.0784313725490196,0.6415066328298592
0.08235294117647059,0.6701188558886713
0.08627450980392157,0.6972895258784387
0.09019607843137255,0.7230248540207677
0.09411764705882353,0.7473398543927919
0.09803921568627451,0.7702566761007089
0.10196078431372549,0.7918031902732422
0.10588235294117647,0.8120117941812496
0.10980392156862745,0.8309184004724598
0.11372549019607843,0.8485615843032142
0.11764705882352941,0.8649818651975582
0.12156862745098039,0.8802211038893479
0.12549019607843137,0.8943219973050942
0.12941176470588237,0.9073276573077242
0.13333333333333333,0.9192812609135818
0.13725490196078433,0.9302257614747571
0.1411764705882353,0.9402036518348408
0.1450980392156863,0.9492567717589081
0.14901960784313725,0.9574261530421101
0.15294117647058825,0.9647518966443194
0.1568627450980392,0.9712730770049656
0.1607843137254902,0.9770276693828618
0.16470588235294117,0.9820524966576274
0.16862745098039217,0.986383192536897
0.17254901960784313,0.9900541785489946
0.17647058823529413,0.9930986525748349
0.1803921568627451,0.9955485869941956
0.1843137254901961,0.9974347347977824
0.18823529411764706,0.9987866422542037
0.19215686274509805,0.9996326669253823
0.19607843137254902,1.0
0.2,0.999914692065985
0.20392156862745098,0.9994016815735699
0.20784313725490197,0.9984848253527084
0.21176470588235294,0.9971869306453908
0.21568627450980393,0.9955297881965761
0.2196078431372549,0.993534206019179
0.2235294117647059,0.9912200435101356
0.22745098039215686,0.988606245647575
0.23137254901960785,0.9857108770447033
0.23529411764705882,0.9825511556750541
0.23921568627450981,0.9791434861173477
0.24313725490196078,0.9755034921969176
0.24705882352941178,0.9716460489252386
0.25098039215686274,0.9675853136601049
0.2549019607843137,0.963334756426896
0.25882352941176473,0.9589071893565859
0.2627450980392157,0.9543147952090761
0.26666666666666666,0.9495691549613162
0.27058823529411763,0.9446812744489187
0.27450980392156865,0.9396616100576151
0.2784313725490196,0.9345200934674024
0.2823529411764706,0.9292661554574827
0.28627450980392155,0.9239087487845439
0.2901960784313726,0.9184563701504382
0.29411764705882354,0.9129170812782283
0.2980392156862745,0.9072985291178022
0.30196078431372547,0.9016079652040493
0.3058823529411765,0.8958522641918787
0.30980392156862746,0.8900379415933564
0.3137254901960784,0.884171170742828
0.3176470588235294,0.8782577990163074
0.3215686274509804,0.8723033633315357
0.3254901960784314,0.8663131049551015
0.32941176470588235,0.8602919836427878
0.3333333333333333,0.8542446911390433
0.33725490196078434,0.8481756640609859
0.3411764705882353,0.8420890961919107
0.34509803921568627,0.8359889502086316
0.34901960784313724,0.8298789688664022
0.35294117647058826,0.8237626856644769
0.3568627450980392,0.8176434350146722
0.3607843137254902,0.8115243619345796
0.36470588235294116,0.8054084312863379
0.3686274509803922,0.7992984365811571
0.37254901960784315,0.7931970083690273
0.3764705882352941,0.7871066222323236
0.3803921568627451,0.7810296064013024
0.3843137254901961,0.7749681490087496
0.38823529411764707,0.7689243050003662
0.39215686274509803,0.7629000027167687
0.396078431372549,0.7568970501623359
0.4,0.7509171409754678
0.403921568627451,0.7449618601142061
0.40784313725490196,0.7390326892705468
0.4117647058823529,0.7331310120261921
0.41568627450980394,0.7272581187619208
0.4196078431372549,0.7214152113321973
0.4235294117647059,0.7156034075161382
0.42745098039215684,0.7098237452554088
0.43137254901960786,0.7040771866891853
0.43529411764705883,0.6983646219957943
0.4392156862745098,0.6926868730502479
0.44313725490196076,0.6870446969064238
0.4470588235294118,0.6814387891122539
0.45098039215686275,0.6758697868658742
0.4549019607843137,0.6703382720203299
0.4588235294117647,0.6648447739440541
0.4627450980392157,0.6593897722440114
0.4666666666666667,0.653973699358062
0.47058823529411764,0.6485969430227827
0.4745098039215686,0.6432598486227024
0.47843137254901963,0.6379627214266073
0.4823529411764706,0.6327058287163074
0.48627450980392156,0.627489401812999
0.49019607843137253,0.6223136380061072
0.49411764705882355,0.6171787023892662
0.4980392156862745,0.6120847296078551
0.5019607843137255,0.6070318255223173
0.5058823529411764,0.602020068791267
0.5098039215686274,0.5970495123782102
0.5137254901960784,0.5921201849855099
0.5176470588235295,0.5872320924190635
0.5215686274509804,0.5823852188869821
0.5254901960784314,0.5775795282354143
0.5294117647058824,0.5728149651244924
0.5333333333333333,0.5680914561472558
0.5372549019607843,0.5634089108942449
0.5411764705882353,0.5587672229663486
0.5450980392156862,0.55416627093836
0.5490196078431373,0.5496059192755696
0.5529411764705883,0.5450860192056224
0.5568627450980392,0.5406064095477592
0.5607843137254902,0.5361669175014502
0.5647058823529412,0.5317673593963451
0.5686274509803921,0.5274075414053689
0.5725490196078431,0.5230872602227
0.5764705882352941,0.5188063037082866
0.5803921568627451,0.5145644515004896
0.5843137254901961,0.5103614755983433
0.5882352941176471,0.5061971409148723
0.592156862745098,0.5020712058028314
0.596078431372549,0.497983422554157
0.6,0.4939335378743851
0.6039215686274509,0.4899212933331925
0.6078431372549019,0.4859464257922077
0.611764705882353,0.48200866781114565
0.615686274509804,0.4781077480332905
0.6196078431372549,0.4742433915513019
0.6235294117647059,0.4704153202542671
0.6274509803921569,0.46662325315688036
0.6313725490196078,0.4628669067115943
0.6352941176470588,0.4591459951045429
0.6392156862745098,0.45546023053599505
0.6431372549019608,0.45180932348607816
0.6470588235294118,0.44819298296645504
0.6509803921568628,0.44461091675861836
0.6549019607843137,0.4410628316394384
0.6588235294117647,0.43754843359455714
0.6627450980392157,0.4340674280202121
0.6666666666666666,0.4306195199140228
0.6705882352941176,0.4272044140552736
0.6745098039215687,0.4238218151751859
0.6784313725490196,0.4204714281176474
0.6823529411764706,0.417152957990858
0.6862745098039216,0.41386611031032333
0.6901960784313725,0.4106105911335954
0.6941176470588235,0.4073861071871694
0.6980392156862745,0.40419236598589503
0.7019607843137254,0.40102907594526976
0.7058823529411765,0.39789594648694676
0.7098039215686275,0.39479268813778484
0.7137254901960784,0.3917190126227501
0.7176470588235294,0.38867463295196314
0.7215686274509804,0.38565926350217516
0.7254901960784313,0.38267262009293673
0.7294117647058823,0.37971442005772305
0.7333333333333333,0.3767843823102518
0.7372549019607844,0.3738822274062342
0.7411764705882353,0.3710076776007745
0.7450980392156863,0.3681604569016369
0.7490196078431373,0.36534029111857624
0.7529411764705882,0.36254690790893207
0.7568627450980392,0.35978003681966286
0.7607843137254902,0.3570394093260028
0.7647058823529411,0.3543247588669044
0.7686274509803922,0.35163582087743056
0.7725490196078432,0.348972332818246
0.7764705882352941,0.3463340342023528
0.7803921568627451,0.3437206666192164
0.7843137254901961,0.3411319737564013
0.788235294117647,0.33856770141885745
0.792156862745098,0.3360275975459689
0.796078431372549,0.3335114122264819
0.8,0.33101889771142284
0.803921568627451,0.328549808425114
0.807843137254902,0.32610390097437636
0.8117647058823529,0.323680934156032
0.8156862745098039,0.3212806689627782
0.8196078431372549,0.31890286858753686
0.8235294117647058,0.3165472984263484
0.8274509803921568,0.31421372607989956
0.8313725490196079,0.3119019213537507
0.8352941176470589,0.3096116562573469
0.8392156862745098,0.3073427050018656
0.8431372549019608,0.3050948439969814
0.8470588235294118,0.30286785184659853
0.8509803921568627,0.3006615093436184
0.8549019607843137,0.2984755994637932
0.8588235294117647,0.2963099073587234
0.8627450980392157,0.29416422034804846
0.8666666666666667,0.29203832791087914
0.8705882352941177,0.2899320216765221
0.8745098039215686,0.2878450954145352
0.8784313725490196,0.2857773450241611
0.8823529411764706,0.2837285685231777
0.8862745098039215,0.2816985660362023
0.8901960784313725,0.2796871397824893
0.8941176470588236,0.2776940940632534
0.8980392156862745,0.2757192352485533
0.9019607843137255,0.2737623717637678
0.9058823529411765,0.27182331407569127
0.9098039215686274,0.26990187467828264
0.9137254901960784,0.26799786807808934
0.9176470588235294,0.2661111107793763
0.9215686274509803,0.26424142126898237
0.9254901960784314,0.26238862000092966
0.9294117647058824,0.2605525293808049
0.9333333333333333,0.25873297374993787
0.9372549019607843,0.256929779369394
0.9411764705882353,0.25514277440380206
0.9450980392156862,0.25337178890503337
0.9490196078431372,0.25161665479575274
0.9529411764705882,0.2498772058528541
0.9568627450980393,0.24815327769079787
0.9607843137254902,0.2464447077448662
0.9647058823529412,0.24475133525434684
0.9686274509803922,0.24307300124566228
0.9725490196078431,0.2414095485154536
0.9764705882352941,0.2397608216136346
0.9803921568627451,0.23812666682642283
0.984313725490196,0.2365069321593618
0.9882352941176471,0.2349014673203432
0.9921568627450981,0.23331012370263957
0.996078431372549,0.2317327543679527
1.0,0.23016921402949203
