log10_T,r,g,b,log10_Y
0.00,4.703669,0.000000,0.000000,-7529.451548
0.01,4.703669,0.000000,0.000000,-7358.085430
0.02,4.703669,0.000000,0.000000,-7190.620079
0.03,4.703669,0.000000,0.000000,-7026.966704
0.04,4.703669,0.000000,0.000000,-6867.038533
0.05,4.703669,0.000000,0.000000,-6710.750770
0.06,4.703669,0.000000,0.000000,-6558.020549
0.07,4.703669,0.000000,0.000000,-6408.766890
0.08,4.703669,0.000000,0.000000,-6262.910657
0.09,4.703669,0.000000,0.000000,-6120.374513
0.10,4.703669,0.000000,0.000000,-5981.082885
0.11,4.703669,0.000000,0.000000,-5844.961917
0.12,4.703669,0.000000,0.000000,-5711.939435
0.13,4.703669,0.000000,0.000000,-5581.944910
0.14,4.703669,0.000000,0.000000,-5454.909414
0.15,4.703669,0.000000,0.000000,-5330.765592
0.16,4.703669,0.000000,0.000000,-5209.447620
0.17,4.703669,0.000000,0.000000,-5090.891173
0.18,4.703669,0.000000,0.000000,-4975.033390
0.19,4.703669,0.000000,0.000000,-4861.812840
0.20,4.703669,0.000000,0.000000,-4751.169491
0.21,4.703669,0.000000,0.000000,-4643.044677
0.22,4.703669,0.000000,0.000000,-4537.381068
0.23,4.703669,0.000000,0.000000,-4434.122638
0.24,4.703669,0.000000,0.000000,-4333.214637
0.25,4.703669,0.000000,0.000000,-4234.603561
0.26,4.703669,0.000000,0.000000,-4138.237123
0.27,4.703669,0.000000,0.000000,-4044.064226
0.28,4.703669,0.000000,0.000000,-3952.034938
0.29,4.703669,0.000000,0.000000,-3862.100460
0.30,4.703669,0.000000,0.000000,-3774.213108
0.31,4.703669,0.000000,0.000000,-3688.326279
0.32,4.703669,0.000000,0.000000,-3604.394434
0.33,4.703669,0.000000,0.000000,-3522.373069
0.34,4.703669,0.000000,0.000000,-3442.218692
0.35,4.703669,0.000000,0.000000,-3363.888804
0.36,4.703669,0.000000,0.000000,-3287.341870
0.37,4.703669,0.000000,0.000000,-3212.537302
0.38,4.703669,0.000000,0.000000,-3139.435435
0.39,4.703669,0.000000,0.000000,-3067.997508
0.40,4.703669,0.000000,0.000000,-2998.185642
0.41,4.703669,0.000000,0.000000,-2929.962818
0.42,4.703669,0.000000,0.000000,-2863.292863
0.43,4.703669,0.000000,0.000000,-2798.140424
0.44,4.703669,0.000000,0.000000,-2734.470956
0.45,4.703669,0.000000,0.000000,-2672.250698
0.46,4.703669,0.000000,0.000000,-2611.446657
0.47,4.703669,0.000000,0.000000,-2552.026594
0.48,4.703669,0.000000,0.000000,-2493.959001
0.49,4.703669,0.000000,0.000000,-2437.213088
0.50,4.703669,0.000000,0.000000,-2381.758766
0.51,4.703669,0.000000,0.000000,-2327.566631
0.52,4.703669,0.000000,0.000000,-2274.607948
0.53,4.703669,0.000000,0.000000,-2222.854637
0.54,4.703669,0.000000,0.000000,-2172.279255
0.55,4.703669,0.000000,0.000000,-2122.854988
0.56,4.703669,0.000000,0.000000,-2074.555626
0.57,4.703669,0.000000,0.000000,-2027.355562
0.58,4.703669,0.000000,0.000000,-1981.229769
0.59,4.703669,0.000000,0.000000,-1936.153788
0.60,4.703669,0.000000,0.000000,-1892.103721
0.61,4.703669,0.000000,0.000000,-1849.056210
0.62,4.703669,0.000000,0.000000,-1806.988431
0.63,4.703669,0.000000,0.000000,-1765.878080
0.64,4.703669,0.000000,0.000000,-1725.703358
0.65,4.703669,0.000000,0.000000,-1686.442966
0.66,4.703669,0.000000,0.000000,-1648.076087
0.67,4.703669,0.000000,0.000000,-1610.582379
0.68,4.703669,0.000000,0.000000,-1573.941963
0.69,4.703669,0.000000,0.000000,-1538.135412
0.70,4.703669,0.000000,0.000000,-1503.143742
0.71,4.703669,0.000000,0.000000,-1468.948402
0.72,4.703669,0.000000,0.000000,-1435.531262
0.73,4.703669,0.000000,0.000000,-1402.874604
0.74,4.703669,0.000000,0.000000,-1370.961116
0.75,4.703669,0.000000,0.000000,-1339.773877
0.76,4.703669,0.000000,0.000000,-1309.296354
0.77,4.703669,0.000000,0.000000,-1279.512389
0.78,4.703669,0.000000,0.000000,-1250.406191
0.79,4.703669,0.000000,0.000000,-1221.962331
0.80,4.703669,0.000000,0.000000,-1194.165729
0.81,4.703669,0.000000,0.000000,-1167.001649
0.82,4.703669,0.000000,0.000000,-1140.455691
0.83,4.703669,0.000000,0.000000,-1114.513783
0.84,4.703669,0.000000,0.000000,-1089.162172
0.85,4.703669,0.000000,0.000000,-1064.387419
0.86,4.703669,0.000000,0.000000,-1040.176390
0.87,4.703669,0.000000,0.000000,-1016.516253
0.88,4.703669,0.000000,0.000000,-993.394464
0.89,4.703669,0.000000,0.000000,-970.798768
0.90,4.703669,0.000000,0.000000,-948.717186
0.91,4.703669,0.000000,0.000000,-927.138014
0.92,4.703669,0.000000,0.000000,-906.049815
0.93,4.703669,0.000000,0.000000,-885.441409
0.94,4.703669,0.000000,0.000000,-865.301874
0.95,4.703669,0.000000,0.000000,-845.620534
0.96,4.703669,0.000000,0.000000,-826.386958
0.97,4.703669,0.000000,0.000000,-807.590952
0.98,4.703669,0.000000,0.000000,-789.222553
0.99,4.703669,0.000000,0.000000,-771.272026
1.00,4.703669,0.000000,0.000000,-753.729857
1.01,4.703669,0.000000,0.000000,-736.586749
1.02,4.703669,0.000000,0.000000,-719.833617
1.03,4.703669,0.000000,0.000000,-703.461581
1.04,4.703669,0.000000,0.000000,-687.461964
1.05,4.703669,0.000000,0.000000,-671.826288
1.06,4.703669,0.000000,0.000000,-656.546267
1.07,4.703669,0.000000,0.000000,-641.613802
1.08,4.703669,0.000000,0.000000,-627.020981
1.09,4.703669,0.000000,0.000000,-612.760070
1.10,4.703669,0.000000,0.000000,-598.823513
1.11,4.703669,0.000000,0.000000,-585.203924
1.12,4.703669,0.000000,0.000000,-571.894086
1.13,4.703669,0.000000,0.000000,-558.886946
1.14,4.703669,0.000000,0.000000,-546.175613
1.15,4.703669,0.000000,0.000000,-533.753351
1.16,4.703669,0.000000,0.000000,-521.613577
1.17,4.703669,0.000000,0.000000,-509.749860
1.18,4.703669,0.000000,0.000000,-498.155913
1.19,4.703669,0.000000,0.000000,-486.825594
1.20,4.703669,0.000000,0.000000,-475.752900
1.21,4.703669,0.000000,0.000000,-464.931964
1.22,4.703669,0.000000,0.000000,-454.357053
1.23,4.703669,0.000000,0.000000,-444.022565
1.24,4.703669,0.000000,0.000000,-433.923025
1.25,4.703669,0.000000,0.000000,-424.053082
1.26,4.703669,0.000000,0.000000,-414.407507
1.27,4.703669,0.000000,0.000000,-404.981191
1.28,4.703669,0.000000,0.000000,-395.769141
1.29,4.703669,0.000000,0.000000,-386.766476
1.30,4.703669,0.000000,0.000000,-377.968428
1.31,4.703669,0.000000,0.000000,-369.370336
1.32,4.703669,0.000000,0.000000,-360.967645
1.33,4.703669,0.000000,0.000000,-352.755905
