log10_T,r,g,b,log10_Y
1.34,4.703669,0.000000,0.000000,-344.730767
1.35,4.703669,0.000000,0.000000,-336.887980
1.36,4.703669,0.000000,0.000000,-329.223389
1.37,4.703669,0.000000,0.000000,-321.732935
1.38,4.703669,0.000000,0.000000,-314.412651
1.39,4.703669,0.000000,0.000000,-307.258661
1.40,4.703669,0.000000,0.000000,-300.267174
1.41,4.703669,0.000000,0.000000,-293.434488
1.42,4.703669,0.000000,0.000000,-286.756985
1.43,4.703669,0.000000,0.000000,-280.231128
1.44,4.703669,0.000000,0.000000,-273.853461
1.45,4.703669,0.000000,0.000000,-267.620607
1.46,4.703669,0.000000,0.000000,-261.529264
1.47,4.703669,0.000000,0.000000,-255.576208
1.48,4.703669,0.000000,0.000000,-249.758285
1.49,4.703669,0.000000,0.000000,-244.072415
1.50,4.703669,0.000000,0.000000,-238.515586
1.51,4.703669,0.000000,0.000000,-233.084855
1.52,4.703669,0.000000,0.000000,-227.777348
1.53,4.703669,0.000000,0.000000,-222.590252
1.54,4.703669,0.000000,0.000000,-217.520822
1.55,4.703669,0.000000,0.000000,-212.566371
1.56,4.703669,0.000000,0.000000,-207.724278
1.57,4.703669,0.000000,0.000000,-202.991976
1.58,4.703669,0.000000,0.000000,-198.366961
1.59,4.703669,0.000000,0.000000,-193.846781
1.60,4.703669,0.000000,0.000000,-189.429044
1.61,4.703669,0.000000,0.000000,-185.111408
1.62,4.703669,0.000000,0.000000,-180.891587
1.63,4.703669,0.000000,0.000000,-176.767346
1.64,4.703669,0.000000,0.000000,-172.736499
1.65,4.703669,0.000000,0.000000,-168.796910
1.66,4.703669,0.000000,0.000000,-164.946493
1.67,4.703669,0.000000,0.000000,-161.183206
1.68,4.703669,0.000000,0.000000,-157.505054
1.69,4.703669,0.000000,0.000000,-153.910089
1.70,4.703669,0.000000,0.000000,-150.396403
1.71,4.703669,0.000000,0.000000,-146.962133
1.72,4.703669,0.000000,0.000000,-143.605459
1.73,4.703669,0.000000,0.000000,-140.324598
1.74,4.703669,0.000000,0.000000,-137.117810
1.75,4.703669,0.000000,0.000000,-133.983392
1.76,4.703669,0.000000,0.000000,-130.919680
1.77,4.703669,0.000000,0.000000,-127.925047
1.78,4.703669,0.000000,0.000000,-124.997900
1.79,4.703669,0.000000,0.000000,-122.136683
1.80,4.703669,0.000000,0.000000,-119.339874
1.81,4.703669,0.000000,0.000000,-116.605984
1.82,4.703669,0.000000,0.000000,-113.933557
1.83,4.703669,0.000000,0.000000,-111.321168
1.84,4.703669,0.000000,0.000000,-108.767424
1.85,4.703669,0.000000,0.000000,-106.270961
1.86,4.703669,0.000000,0.000000,-103.830444
1.87,4.703669,0.000000,0.000000,-101.444568
1.88,4.703669,0.000000,0.000000,-99.112055
1.89,4.703669,0.000000,0.000000,-96.831653
1.90,4.703669,0.000000,0.000000,-94.602138
1.91,4.703669,0.000000,0.000000,-92.422309
1.92,4.703669,0.000000,0.000000,-90.290992
1.93,4.703669,0.000000,0.000000,-88.207037
1.94,4.703669,0.000000,0.000000,-86.169316
1.95,4.703669,0.000000,0.000000,-84.176723
1.96,4.703669,0.000000,0.000000,-82.228176
1.97,4.703669,0.000000,0.000000,-80.322614
1.98,4.703669,0.000000,0.000000,-78.458996
1.99,4.703669,0.000000,0.000000,-76.636301
2.00,4.703669,0.000000,0.000000,-74.853527
2.01,4.703669,0.000000,0.000000,-73.109694
2.02,4.703669,0.000000,0.000000,-71.403836
2.03,4.703669,0.000000,0.000000,-69.735009
2.04,4.703669,0.000000,0.000000,-68.102286
2.05,4.703669,0.000000,0.000000,-66.504757
2.06,4.703669,0.000000,0.000000,-64.941529
2.07,4.703669,0.000000,0.000000,-63.411726
2.08,4.703669,0.000000,0.000000,-61.914492
2.09,4.703669,0.000000,0.000000,-60.448985
2.10,4.703669,0.000000,0.000000,-59.014382
2.11,4.703669,0.000000,0.000000,-57.609879
2.12,4.703669,0.000000,0.000000,-56.234687
2.13,4.703669,0.000000,0.000000,-54.888040
2.14,4.703669,0.000000,0.000000,-53.569186
2.15,4.703669,0.000000,0.000000,-52.277398
2.16,4.703669,0.000000,0.000000,-51.011966
2.17,4.703669,0.000000,0.000000,-49.772201
2.18,4.703669,0.000000,0.000000,-48.557439
2.19,4.703669,0.000000,0.000000,-47.367035
2.20,4.703669,0.000000,0.000000,-46.200366
2.21,4.703669,0.000000,0.000000,-45.056834
2.22,4.703669,0.000000,0.000000,-43.935864
2.23,4.703669,0.000000,0.000000,-42.836902
2.24,4.703669,0.000000,0.000000,-41.759419
2.25,4.703669,0.000000,0.000000,-40.702905
2.26,4.703669,0.000000,0.000000,-39.666876
2.27,4.703669,0.000000,0.000000,-38.650865
2.28,4.703669,0.000000,0.000000,-37.654428
2.29,4.703669,0.000000,0.000000,-36.677138
2.30,4.703669,0.000000,0.000000,-35.718587
2.31,4.703669,0.000000,0.000000,-34.778383
2.32,4.703669,0.000000,0.000000,-33.856151
2.33,4.703669,0.000000,0.000000,-32.951529
2.34,4.703669,0.000000,0.000000,-32.064168
2.35,4.703669,0.000000,0.000000,-31.193733
2.36,4.703669,0.000000,0.000000,-30.339897
2.37,4.703669,0.000000,0.000000,-29.502348
2.38,4.703669,0.000000,0.000000,-28.680779
2.39,4.703669,0.000000,0.000000,-27.874892
2.40,4.703669,0.000000,0.000000,-27.084400
2.41,4.703669,0.000000,0.000000,-26.309019
2.42,4.703669,0.000000,0.000000,-25.548476
2.43,4.703669,0.000000,0.000000,-24.802500
2.44,4.703669,0.000000,0.000000,-24.070829
2.45,4.703669,0.000000,0.000000,-23.353204
2.46,4.703669,0.000000,0.000000,-22.649373
2.47,4.703669,0.000000,0.000000,-21.959087
2.48,4.703669,0.000000,0.000000,-21.282105
2.49,4.703669,0.000000,0.000000,-20.618186
2.50,4.703669,0.000000,0.000000,-19.967096
2.51,4.703669,0.000000,0.000000,-19.328604
2.52,4.703669,0.000000,0.000000,-18.702485
2.53,4.703669,0.000000,0.000000,-18.088514
2.54,4.703669,0.000000,0.000000,-17.486474
2.55,4.703669,0.000000,0.000000,-16.896149
2.56,4.703669,0.000000,0.000000,-16.317326
2.57,4.703669,0.000000,0.000000,-15.749799
2.58,4.703669,0.000000,0.000000,-15.193361
2.59,4.703669,0.000000,0.000000,-14.647811
2.60,4.703669,0.000000,0.000000,-14.112952
2.61,4.703669,0.000000,0.000000,-13.588588
2.62,4.703669,0.000000,0.000000,-13.074527
2.63,4.703669,0.000000,0.000000,-12.570580
2.64,4.703669,0.000000,0.000000,-12.076563
2.65,4.703669,0.000000,0.000000,-11.592292
2.66,4.703669,0.000000,0.000000,-11.117588
2.67,4.703669,0.000000,0.000000,-10.652274
2.68,4.703669,0.000000,0.000000,-10.196177
2.69,4.703669,0.000000,0.000000,-9.749125
2.70,4.703669,0.000000,0.000000,-9.310952
2.71,4.703669,0.000000,0.000000,-8.881490
2.72,4.703669,0.000000,0.000000,-8.460579
2.73,4.703669,0.000000,0.000000,-8.048058
2.74,4.703669,0.000000,0.000000,-7.643769
2.75,4.703669,0.000000,0.000000,-7.247560
2.76,4.703669,0.000000,0.000000,-6.859278
2.77,4.703669,0.000000,0.000000,-6.478773
2.78,4.703669,0.000000,0.000000,-6.105900
2.79,4.703669,0.000000,0.000000,-5.740513
2.80,4.703669,0.000000,0.000000,-5.382472
2.81,4.703669,0.000000,0.000000,-5.031638
2.82,4.703669,0.000000,0.000000,-4.687872
2.83,4.703669,0.000000,0.000000,-4.351042
2.84,4.703669,0.000000,0.000000,-4.021015
2.85,4.703669,0.000000,0.000000,-3.697661
2.86,4.703669,0.000000,0.000000,-3.380854
2.87,4.703669,0.000000,0.000000,-3.070468
2.88,4.703669,0.000000,0.000000,-2.766380
2.89,4.703669,0.000000,0.000000,-2.468470
2.90,4.703669,0.000000,0.000000,-2.176620
2.91,4.703669,0.000000,0.000000,-1.890712
2.92,4.703669,0.000000,0.000000,-1.610634
2.93,4.699955,0.001104,0.000000,-1.336273
2.94,4.646353,0.017038,0.000000,-1.067518
2.95,4.590738,0.033570,0.000000,-0.804262
2.96,4.533322,0.050637,0.000000,-0.546400
2.97,4.474306,0.068180,0.000000,-0.293826
2.98,4.413886,0.086141,0.000000,-0.046438
2.99,4.352247,0.104463,0.000000,0.195863
3.00,4.289567,0.123096,0.000000,0.433176
3.01,4.226016,0.141987,0.000000,0.665598
3.02,4.161753,0.161090,0.000000,0.893223
3.03,4.096931,0.180359,0.000000,1.116145
3.04,4.031694,0.199751,0.000000,1.334456
3.05,3.966176,0.219227,0.000000,1.548244
3.06,3.900504,0.238748,0.000000,1.757598
3.07,3.834799,0.258280,0.000000,1.962604
3.08,3.769169,0.277789,0.000000,2.163347
3.09,3.703720,0.297244,0.000000,2.359911
3.10,3.638546,0.316618,0.000000,2.552378
3.11,3.573736,0.335883,0.000000,2.740827
3.12,3.509372,0.355016,0.000000,2.925337
3.13,3.445529,0.373994,0.000000,3.105987
3.14,3.382275,0.392797,0.000000,3.282851
3.15,3.319674,0.411406,0.000000,3.456004
3.16,3.257781,0.429804,0.000000,3.625521
3.17,3.196648,0.447976,0.000000,3.791472
3.18,3.136319,0.465910,0.000000,3.953928
3.19,3.076837,0.483591,0.000000,4.112959
3.20,3.018237,0.501011,0.000000,4.268632
3.21,2.960551,0.518158,0.000000,4.421015
3.22,2.903805,0.535027,0.000000,4.570173
3.23,2.848024,0.551608,0.000000,4.716170
3.24,2.793227,0.567897,0.000000,4.859070
3.25,2.739431,0.583888,0.000000,4.998935
3.26,2.686648,0.599579,0.000000,5.135826
3.27,2.634889,0.614965,0.000000,5.269802
3.28,2.584161,0.630044,0.000000,5.400922
3.29,2.532907,0.644418,0.008533,5.529245
3.30,2.482578,0.658420,0.018034,5.654826
3.31,2.433262,0.672069,0.028044,5.777721
3.32,2.384961,0.685364,0.038568,5.897985
3.33,2.337674,0.698306,0.049610,6.015672
3.34,2.291396,0.710896,0.061172,6.130833
3.35,2.246124,0.723133,0.073256,6.243521
3.36,2.201853,0.735021,0.085861,6.353786
3.37,2.158574,0.746561,0.098987,6.461678
3.38,2.116281,0.757755,0.112632,6.567245
3.39,2.074964,0.768607,0.126793,6.670536
3.40,2.034614,0.779121,0.141467,6.771598
3.41,1.995219,0.789299,0.156647,6.870476
3.42,1.956769,0.799146,0.172328,6.967217
3.43,1.919250,0.808665,0.188503,7.061864
3.44,1.882651,0.817863,0.205164,7.154462
3.45,1.846959,0.826743,0.222301,7.245052
3.46,1.812160,0.835310,0.239905,7.333678
3.47,1.778240,0.843570,0.257964,7.420380
3.48,1.745186,0.851528,0.276468,7.505200
3.49,1.712982,0.859189,0.295403,7.588176
3.50,1.681615,0.866559,0.314756,7.669349
3.51,1.651070,0.873644,0.334514,7.748756
3.52,1.621333,0.880450,0.354661,7.826435
3.53,1.592387,0.886983,0.375183,7.902424
3.54,1.564220,0.893248,0.396062,7.976759
3.55,1.536815,0.899252,0.417283,8.049475
3.56,1.510158,0.905001,0.438829,8.120607
3.57,1.484235,0.910501,0.460683,8.190191
3.58,1.459029,0.915758,0.482825,8.258260
3.59,1.434528,0.920779,0.505238,8.324847
3.60,1.410716,0.925569,0.527903,8.389986
3.61,1.387579,0.930135,0.550801,8.453708
3.62,1.365103,0.934484,0.573914,8.516045
3.63,1.343272,0.938620,0.597220,8.577029
3.64,1.322074,0.942551,0.620701,8.636689
3.65,1.301495,0.946282,0.644337,8.695056
3.66,1.281519,0.949821,0.668108,8.752160
3.67,1.262134,0.953172,0.691994,8.808030
3.68,1.243326,0.956341,0.715976,8.862693
3.69,1.225082,0.959336,0.740032,8.916179
3.70,1.207388,0.962162,0.764145,8.968515
3.71,1.190231,0.964824,0.788293,9.019728
3.72,1.173599,0.967329,0.812458,9.069845
3.73,1.157478,0.969682,0.836620,9.118891
3.74,1.141855,0.971889,0.860761,9.166894
3.75,1.126718,0.973955,0.884862,9.213877
3.76,1.112055,0.975887,0.908904,9.259867
3.77,1.097854,0.977689,0.932870,9.304887
3.78,1.084102,0.979367,0.956743,9.348961
3.79,1.070787,0.980926,0.980505,9.392113
3.80,1.057898,0.982371,1.004140,9.434367
3.81,1.045422,0.983708,1.027632,9.475744
3.82,1.033349,0.984941,1.050966,9.516267
3.83,1.021668,0.986076,1.074127,9.555958
3.84,1.010367,0.987116,1.097102,9.594838
3.85,0.999434,0.988067,1.119876,9.632929
3.86,0.988861,0.988932,1.142437,9.670251
3.87,0.978635,0.989717,1.164772,9.706824
3.88,0.968747,0.990425,1.186871,9.742667
3.89,0.959186,0.991062,1.208723,9.777801
3.90,0.949943,0.991629,1.230317,9.812244
3.91,0.941007,0.992132,1.251645,9.846014
3.92,0.932370,0.992575,1.272697,9.879130
3.93,0.924021,0.992960,1.293466,9.911610
3.94,0.915952,0.993291,1.313945,9.943470
3.95,0.908153,0.993572,1.334128,9.974728
3.96,0.900616,0.993806,1.354007,10.005400
3.97,0.893332,0.993995,1.373579,10.035502
3.98,0.886293,0.994143,1.392839,10.065051
3.99,0.879491,0.994253,1.411783,10.094061
4.00,0.872918,0.994326,1.430408,10.122547
4.01,0.866566,0.994367,1.448712,10.150524
4.02,0.860428,0.994376,1.466691,10.178007
4.03,0.854496,0.994357,1.484346,10.205009
4.04,0.848764,0.994312,1.501674,10.231544
4.05,0.843224,0.994242,1.518676,10.257624
4.06,0.837870,0.994151,1.535352,10.283264
4.07,0.832695,0.994038,1.551702,10.308475
4.08,0.827694,0.993907,1.567727,10.333269
4.09,0.822859,0.993759,1.583429,10.357659
4.10,0.818186,0.993596,1.598809,10.381655
4.11,0.813668,0.993418,1.613870,10.405270
4.12,0.809301,0.993228,1.628613,10.428514
4.13,0.805078,0.993027,1.643042,10.451397
4.14,0.800994,0.992815,1.657160,10.473930
4.15,0.797046,0.992595,1.670970,10.496124
4.16,0.793227,0.992367,1.684475,10.517987
4.17,0.789533,0.992132,1.697680,10.539529
4.18,0.785961,0.991891,1.710588,10.560759
4.19,0.782504,0.991645,1.723203,10.581687
4.20,0.779160,0.991394,1.735531,10.602320
4.21,0.775925,0.991140,1.747574,10.622668
4.22,0.772794,0.990884,1.759338,10.642739
4.23,0.769763,0.990624,1.770827,10.662539
4.24,0.766830,0.990364,1.782046,10.682078
4.25,0.763991,0.990102,1.793000,10.701363
4.26,0.761242,0.989840,1.803693,10.720401
4.27,0.758580,0.989577,1.814131,10.739198
4.28,0.756002,0.989315,1.824318,10.757762
4.29,0.753506,0.989054,1.834259,10.776100
4.30,0.751087,0.988793,1.843960,10.794217
4.31,0.748745,0.988534,1.853424,10.812120
4.32,0.746475,0.988277,1.862658,10.829816
4.33,0.744276,0.988021,1.871666,10.847309
4.34,0.742144,0.987768,1.880452,10.864606
4.35,0.740078,0.987517,1.889022,10.881712
4.36,0.738076,0.987268,1.897381,10.898633
4.37,0.736134,0.987022,1.905532,10.915374
4.38,0.734252,0.986780,1.913482,10.931939
4.39,0.732426,0.986540,1.921234,10.948334
4.40,0.730656,0.986303,1.928793,10.964563
4.41,0.728939,0.986069,1.936163,10.980632
4.42,0.727273,0.985839,1.943350,10.996544
4.43,0.725656,0.985612,1.950357,11.012304
4.44,0.724088,0.985389,1.957188,11.027915
4.45,0.722566,0.985169,1.963849,11.043384
4.46,0.721089,0.984952,1.970343,11.058712
4.47,0.719655,0.984739,1.976674,11.073904
4.48,0.718263,0.984530,1.982846,11.088963
4.49,0.716912,0.984324,1.988863,11.103894
4.50,0.715599,0.984122,1.994729,11.118700
4.51,0.714325,0.983924,2.000448,11.133384
4.52,0.713087,0.983729,2.006023,11.147950
4.53,0.711885,0.983537,2.011458,11.162400
4.54,0.710717,0.983350,2.016757,11.176738
4.55,0.709582,0.983166,2.021923,11.190967
4.56,0.708479,0.982985,2.026959,11.205090
4.57,0.707408,0.982808,2.031869,11.219109
4.58,0.706366,0.982634,2.036656,11.233028
4.59,0.705354,0.982464,2.041323,11.246849
4.60,0.704370,0.982297,2.045872,11.260574
4.61,0.703414,0.982134,2.050308,11.274207
4.62,0.702483,0.981974,2.054633,11.287749
4.63,0.701579,0.981817,2.058850,11.301204
4.64,0.700700,0.981663,2.062962,11.314573
4.65,0.699844,0.981513,2.066970,11.327858
4.66,0.699012,0.981365,2.070879,11.341063
4.67,0.698203,0.981221,2.074691,11.354188
4.68,0.697415,0.981080,2.078407,11.367237
4.69,0.696649,0.980942,2.082031,11.380210
4.70,0.695904,0.980807,2.085565,11.393111
4.71,0.695179,0.980674,2.089011,11.405940
4.72,0.694473,0.980545,2.092372,11.418700
4.73,0.693786,0.980418,2.095649,11.431393
4.74,0.693117,0.980295,2.098845,11.444020
4.75,0.692466,0.980173,2.101962,11.456583
4.76,0.691833,0.980055,2.105002,11.469083
4.77,0.691216,0.979939,2.107967,11.481523
4.78,0.690615,0.979825,2.110859,11.493903
4.79,0.690030,0.979715,2.113680,11.506226
4.80,0.689461,0.979606,2.116431,11.518492
4.81,0.688906,0.979500,2.119115,11.530704
4.82,0.688366,0.979396,2.121732,11.542862
4.83,0.687840,0.979295,2.124286,11.554968
4.84,0.687327,0.979196,2.126777,11.567024
4.85,0.686828,0.979099,2.129207,11.579030
4.86,0.686342,0.979004,2.131577,11.590987
4.87,0.685868,0.978912,2.133890,11.602898
4.88,0.685406,0.978821,2.136146,11.614763
4.89,0.684956,0.978733,2.138348,11.626583
4.90,0.684518,0.978646,2.140495,11.638359
4.91,0.684091,0.978562,2.142591,11.650094
4.92,0.683674,0.978479,2.144635,11.661786
4.93,0.683268,0.978398,2.146630,11.673438
4.94,0.682873,0.978319,2.148577,11.685051
4.95,0.682487,0.978242,2.150476,11.696626
4.96,0.682112,0.978167,2.152330,11.708162
4.97,0.681745,0.978093,2.154139,11.719663
4.98,0.681388,0.978021,2.155904,11.731128
4.99,0.681040,0.977951,2.157626,11.742558
5.00,0.680700,0.977882,2.159307,11.753954
5.01,0.680369,0.977815,2.160948,11.765317
5.02,0.680047,0.977749,2.162549,11.776647
5.03,0.679732,0.977685,2.164111,11.787947
5.04,0.679425,0.977622,2.165637,11.799215
5.05,0.679126,0.977561,2.167125,11.810454
5.06,0.678834,0.977501,2.168578,11.821663
5.07,0.678549,0.977442,2.169996,11.832844
5.08,0.678271,0.977385,2.171380,11.843997
5.09,0.678000,0.977329,2.172732,11.855123
5.10,0.677736,0.977275,2.174051,11.866222
5.11,0.677478,0.977221,2.175338,11.877296
5.12,0.677227,0.977169,2.176595,11.888344
5.13,0.676982,0.977118,2.177822,11.899368
5.14,0.676742,0.977068,2.179020,11.910367
5.15,0.676509,0.977020,2.180189,11.921344
5.16,0.676281,0.976972,2.181330,11.932297
5.17,0.676059,0.976926,2.182445,11.943228
5.18,0.675842,0.976880,2.183533,11.954137
5.19,0.675631,0.976836,2.184595,11.965025
5.20,0.675424,0.976793,2.185632,11.975893
5.21,0.675223,0.976750,2.186645,11.986740
5.22,0.675026,0.976709,2.187633,11.997567
5.23,0.674834,0.976669,2.188599,12.008375
5.24,0.674647,0.976629,2.189541,12.019164
5.25,0.674464,0.976591,2.190461,12.029934
5.26,0.674286,0.976553,2.191360,12.040687
5.27,0.674112,0.976516,2.192237,12.051422
5.28,0.673942,0.976480,2.193094,12.062140
5.29,0.673776,0.976445,2.193931,12.072842
5.30,0.673614,0.976411,2.194748,12.083527
5.31,0.673456,0.976377,2.195546,12.094196
5.32,0.673302,0.976344,2.196325,12.104850
5.33,0.673151,0.976312,2.197086,12.115488
5.34,0.673004,0.976281,2.197828,12.126112
5.35,0.672861,0.976250,2.198554,12.136721
5.36,0.672721,0.976220,2.199263,12.147316
5.37,0.672584,0.976191,2.199955,12.157897
5.38,0.672451,0.976163,2.200630,12.168465
5.39,0.672320,0.976135,2.201290,12.179019
5.40,0.672193,0.976107,2.201935,12.189561
5.41,0.672069,0.976081,2.202565,12.200090
5.42,0.671948,0.976055,2.203179,12.210607
5.43,0.671829,0.976029,2.203780,12.221112
5.44,0.671713,0.976005,2.204366,12.231606
5.45,0.671601,0.975980,2.204939,12.242088
5.46,0.671490,0.975957,2.205499,12.252558
5.47,0.671383,0.975933,2.206045,12.263018
5.48,0.671278,0.975911,2.206579,12.273468
5.49,0.671175,0.975889,2.207100,12.283907
5.50,0.671075,0.975867,2.207610,12.294335
5.51,0.670977,0.975846,2.208107,12.304754
5.52,0.670881,0.975825,2.208593,12.315164
5.53,0.670788,0.975805,2.209068,12.325563
5.54,0.670697,0.975785,2.209531,12.335954
5.55,0.670608,0.975766,2.209984,12.346336
5.56,0.670521,0.975747,2.210426,12.356708
5.57,0.670436,0.975729,2.210858,12.367073
5.58,0.670353,0.975711,2.211280,12.377428
5.59,0.670272,0.975693,2.211693,12.387776
5.60,0.670193,0.975676,2.212095,12.398116
5.61,0.670116,0.975660,2.212489,12.408448
5.62,0.670040,0.975643,2.212873,12.418772
5.63,0.669967,0.975627,2.213249,12.429089
5.64,0.669895,0.975612,2.213615,12.439398
